@relation 'hawks-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1'

@attribute Age {I,A}
@attribute Sex {F,M}
@attribute Wing numeric
@attribute Weight numeric
@attribute Culmen numeric
@attribute Hallux numeric
@attribute Tail numeric
@attribute StandardTail numeric
@attribute Tarsus numeric
@attribute WingPitFat numeric
@attribute KeelFat numeric
@attribute Crop numeric
@attribute Species {RT,CH,SS}

@data
I,?,393,1050,28.7,29.8,222,?,?,?,?,?,RT
I,?,378,1040,26.2,31.2,225,?,?,?,?,?,RT
I,?,398,1110,26.5,30.9,225,?,?,?,?,?,RT
I,?,412,1300,27.9,31.55,233,?,?,?,?,?,RT
I,?,400,980,25.7,29.3,214,?,?,?,?,?,RT
I,?,422,1120,26.4,28.3,233,?,?,?,?,?,RT
I,F,202,134,12.4,13.7,158,?,?,?,?,?,SS
I,?,394,1270,27.8,31.6,245,?,?,?,?,?,RT
I,?,369,880,25,26.5,210,?,?,?,?,?,RT
I,F,252,340,16,20.8,230,?,?,?,?,?,CH
A,M,240,340,16.1,19.3,192,?,?,?,?,?,CH
I,?,410,1255,29.7,31.4,229,?,?,?,?,?,RT
I,?,241,1320,28.6,36.4,235,?,?,?,?,?,RT
I,?,408,1320,30,33.4,221,?,?,?,?,?,RT
I,?,37.2,1180,20.2,26.65,210,?,?,?,?,?,RT
I,?,380,760,24.5,26.1,212,?,?,?,?,?,RT
I,?,396,1250,26.6,32.5,225,?,?,?,?,?,RT
I,?,326,?,25.2,27.7,215,?,?,?,?,?,RT
I,M,158,100,10.8,10.5,122,?,?,?,?,?,SS
I,?,416,1300,27.3,32.7,235,?,?,?,?,?,RT
I,F,271,475,18.2,24.75,232,?,?,?,?,?,CH
A,M,176,100,9.8,11.1,133,?,?,?,?,?,SS
A,F,194,?,11.4,14.2,154,?,?,?,?,?,SS
A,?,390,1080,30.2,29.1,209,?,?,?,?,?,RT
A,?,391,1130,26.4,29.4,212,?,?,?,?,?,RT
A,?,387,1160,26.8,31,209,?,?,?,?,?,RT
I,?,420,1345,29.5,34.3,250,?,?,?,?,?,RT
A,?,435,1385,32.6,30.6,235,?,?,?,?,?,RT
A,?,400,1210,25.5,28.6,222,?,?,?,?,?,RT
I,?,398,1455,28,31.5,236,?,?,?,?,?,RT
I,?,395,1180,25,28.9,210,?,?,?,?,?,RT
I,?,410,1500,27.1,33.2,239,?,?,?,?,?,RT
I,?,369,1025,27.1,31.5,228,?,?,?,?,?,RT
I,?,372,930,26.1,31.1,220,?,?,?,?,?,RT
I,?,415,1360,28.6,33.5,233,?,?,?,?,?,RT
I,?,412,1255,27.7,32.6,236,?,?,?,?,?,RT
I,F,205,194,12.6,14.4,155,?,?,?,?,?,SS
I,F,204,159,12.5,14.8,152,?,?,?,?,?,SS
I,M,170,90,9.5,11.3,135,?,?,?,?,?,SS
A,M,233,340,17.8,19.4,186,?,?,?,?,?,CH
I,?,375,1065,25.9,30,216,?,?,?,?,?,RT
I,?,385,1125,19.6,31.4,233,?,?,?,?,?,RT
I,?,422,1340,28.7,32,248,?,?,?,?,?,RT
I,?,391,1050,26.6,32.2,221,?,?,?,?,?,RT
I,?,410,1210,27.5,308,227,?,?,?,?,?,RT
I,?,385,980,26.8,27.8,223,?,?,?,?,?,RT
I,?,381,1000,25.5,29.8,219,?,?,?,?,?,RT
A,?,416,1390,28.1,31.3,225,?,?,?,?,?,RT
I,?,406,1275,29,33.7,238,?,?,?,?,?,RT
I,?,418,1180,30.1,341.4,235,?,?,?,?,?,RT
I,?,412,1210,29.3,33.8,222,?,?,?,?,?,RT
A,F,208,168,12.7,14.8,155,?,?,?,?,?,SS
I,F,208,146,11.8,14.9,160,?,?,?,?,?,SS
I,M,175,108,10,11.5,137,?,?,?,?,?,SS
I,M,166,94,9.5,11.3,127,?,?,?,?,?,SS
I,?,405,1085,27.7,29.9,238,?,?,?,?,?,RT
A,F,198,188,12.2,143,150,?,?,?,?,?,SS
I,F,200,154,12.4,14.4,150,?,?,?,?,?,SS
I,?,380,810,25.9,28.7,229,?,?,?,?,?,RT
I,?,381,905,27.9,29.1,227,?,?,?,?,?,RT
I,M,169,94,9,10.2,129,?,?,?,?,?,SS
I,F,260,420,19.6,23.9,220,?,?,?,?,?,CH
I,?,428,1240,29.1,34.7,245,?,?,?,?,?,RT
I,?,400,990,26.9,31.4,223,?,?,?,?,?,RT
I,F,265,365,16.8,22.5,224,?,?,?,?,?,CH
I,M,177,91,10.2,11.3,133,?,?,?,?,?,SS
I,?,381,1010,25.8,31.7,210,?,?,?,?,?,RT
I,?,403,980,26.3,29.7,234,?,?,?,?,?,RT
I,?,382,860,26.5,29,219,?,?,?,?,?,RT
I,?,382,970,25.8,29,216,?,?,?,?,?,RT
I,?,399,980,27.5,29.9,230,?,?,?,?,?,RT
I,?,380,985,23.9,29,223,?,?,?,?,?,RT
I,?,375,990,25.6,30.6,220,?,?,?,?,?,RT
I,?,420,1210,27.8,32.6,241,?,?,?,?,?,RT
I,M,170,89,8.6,11,136,?,?,?,?,?,SS
A,M,177,97,10,11.3,137,?,?,?,?,?,SS
I,?,375,990,28,29.5,223,?,?,?,?,?,RT
I,?,395,1170,28.1,31.7,238,?,?,?,?,?,RT
A,M,170,93,10.1,11.2,126,?,?,?,?,?,SS
I,?,406,1350,30.5,32,235,?,?,?,?,?,RT
I,?,414,1370,29.3,33,240,?,?,?,?,?,RT
I,M,173,103,9.7,19.4,137,?,?,?,?,?,SS
I,F,209,151,12.2,13.9,160,?,?,?,?,?,SS
I,M,177,101,10.3,12.1,140,?,?,?,?,?,SS
I,?,388,985,26.9,29.8,220,?,?,?,?,?,RT
I,?,277,940,26.5,30.4,218,?,?,?,?,?,RT
I,?,423,1310,27.4,34.1,234,?,?,?,?,?,RT
I,?,365,1035,26.1,30.8,232,?,?,?,?,?,RT
I,?,383,965,26.1,31.8,221,?,?,?,?,?,RT
I,?,391,1125,25.4,30.9,220,?,?,?,?,?,RT
I,?,389,975,26.4,30.3,232,?,?,?,?,?,RT
I,?,392,1140,26.2,29.8,214,?,?,?,?,?,RT
I,?,375,950,25.3,29.9,225,?,?,?,?,?,RT
I,?,410,1210,28.1,28.9,238,?,?,?,?,?,RT
I,M,179,95,10.8,11.6,133,?,?,?,?,?,SS
I,M,172,89,9.4,10.8,136,?,?,?,?,?,SS
A,F,202,195,12.4,14.1,151,?,?,?,?,?,SS
I,M,174,93,9.5,11,131,?,?,?,?,?,SS
I,?,422,1205,28.8,31.3,238,?,?,?,?,?,RT
I,?,385,1045,27.6,27.5,229,?,?,?,?,?,RT
I,?,363,1090,26.6,28.8,202,?,?,?,?,?,RT
I,?,450,1190,30.3,32.8,226,?,?,?,?,?,RT
I,?,380,960,25.6,30.1,220,?,?,?,?,?,RT
I,?,385,955,26.3,30.1,215,?,?,?,?,?,RT
I,?,385,1110,24.7,30.2,122,?,?,?,?,?,RT
I,M,171,100,19.1,11.5,134,?,?,?,?,?,SS
I,?,380,900,24,26.5,215,?,?,?,?,?,RT
I,?,384,1075,26.5,30.7,208,?,?,?,?,?,RT
I,?,373,980,27.9,32.1,211,?,?,?,?,?,RT
I,?,381,940,27.8,34.2,220,?,?,?,?,?,RT
I,?,363,1070,25.6,30.4,204,?,?,?,?,?,RT
I,?,409,1120,29.4,31.6,229,?,?,?,?,?,RT
A,?,390,1060,27.6,29,205,?,?,?,?,?,RT
I,F,204,168,12.1,14.3,155,?,?,?,?,?,SS
I,F,197,211,11.5,13.9,150,?,?,?,?,?,SS
I,?,420,1125,27.2,27.4,244,?,?,?,?,?,RT
I,?,381,1100,27,28.2,225,?,?,?,?,?,RT
I,?,408,1360,30,33.9,239,?,?,?,?,?,RT
I,?,388,995,26.7,30.7,222,?,?,?,?,?,RT
A,?,398,1095,21.1,31.4,209,?,?,?,?,?,RT
I,F,209,196,12.1,14.6,164,?,?,?,?,?,SS
I,F,209,176,11.7,15.1,159,?,?,?,?,?,SS
A,?,394,1075,25.5,29.7,211,?,?,?,?,?,RT
A,F,204,180,12.3,15.2,160,?,?,?,?,?,SS
I,F,204,164,12.3,14.3,157,?,?,?,?,?,SS
I,F,209,158,12.2,14.4,160,?,?,?,?,?,SS
I,?,394,1140,26.8,29.2,216,?,?,?,?,?,RT
I,?,416,1240,27.9,31.8,250,?,?,?,?,?,RT
I,?,445,1465,29.7,34.6,260,?,?,?,?,?,RT
I,F,209,169,12.1,14.5,164,?,?,?,?,?,SS
I,?,388,1105,26.7,28.9,217,?,?,?,?,?,RT
I,?,397,1010,27.1,31.4,228,?,?,?,?,?,RT
I,?,384,1075,26.3,30.5,218,?,?,?,?,?,RT
I,?,379,1060,27.9,30.9,220,?,?,?,?,?,RT
I,?,393,1015,27.6,31.1,227,?,?,?,?,?,RT
I,?,386,1100,26,30.2,211,?,?,?,?,?,RT
I,?,397,1010,25,30.6,222,?,?,?,?,?,RT
I,?,382,1000,26.3,30.1,225,?,?,?,?,?,RT
I,?,386,980,25.4,30.2,221,?,?,?,?,?,RT
I,?,417,1240,28.7,32.4,231,?,?,?,?,?,RT
I,?,403,1360,27.9,33.1,235,?,?,?,?,?,RT
A,M,239,183,17.3,19.2,182,?,?,?,?,?,CH
I,?,401,1405,29.1,82.8,235,?,?,?,?,?,RT
A,?,377,1055,27,29.1,200,?,?,?,?,?,RT
A,?,432,1670,27.1,32.9,216,?,?,?,?,?,RT
I,?,390,1250,26.2,30.5,223,?,?,?,?,?,RT
I,?,381,1030,25.3,29.9,210,?,?,?,?,?,RT
I,?,403,1040,?,29.9,229,?,?,?,?,?,RT
I,F,213,190,12.2,15.5,160,?,?,?,?,?,SS
I,M,172,105,10,10.8,125,?,?,?,?,?,SS
I,?,390,1090,26.2,28.8,226,?,?,?,?,?,RT
I,F,204,190,11.8,13.9,154,?,?,?,?,?,SS
A,?,386,1050,28.4,29.4,207,?,?,?,?,?,RT
I,?,402,1110,26.1,30,238,?,?,?,?,?,RT
I,F,201,206,12.1,13.5,151,?,?,?,?,?,SS
I,F,202,195,12.1,14.8,158,?,?,?,?,?,SS
A,?,374,1010,24.9,30.1,197,?,?,?,?,?,RT
I,?,358,880,24.2,28.7,250,?,?,?,?,?,RT
I,?,370,1060,24.3,29.8,215,?,?,?,?,?,RT
I,?,390,920,25.7,30,214,?,?,?,?,?,RT
I,?,398,1195,26.2,29.8,230,?,?,?,?,?,RT
I,?,360,890,26,28.4,213,?,?,?,?,?,RT
I,?,355,900,25.3,29,214,?,?,?,?,?,RT
A,?,375,1110,22.2,31.5,224,?,?,?,?,?,RT
I,F,200,160,10.2,13.2,153,?,?,?,?,?,SS
I,M,179,105,10.1,11.3,131,?,?,?,?,?,SS
I,M,175,99,9.6,12.7,145,?,?,?,?,?,SS
I,F,203,165,12,14.4,165,?,?,?,?,?,SS
I,F,205,100,12,12.5,168,?,?,?,?,?,SS
I,F,213,125,11.5,14.4,156,?,?,?,?,?,SS
I,?,409,1100,29,32.6,215,?,?,?,?,?,RT
I,F,202,?,?,?,164,?,?,?,?,?,SS
I,F,195,155,11.9,14.6,155,?,?,?,?,?,SS
I,?,415,1285,29.5,31.8,239,?,?,?,?,?,RT
A,M,236,390,15.1,20.4,185,?,?,?,?,?,CH
I,?,363,920,26.8,30.2,214,?,?,?,?,?,RT
I,?,381,1025,25.4,30.8,232,?,?,?,?,?,RT
A,?,350,940,26,29.1,205,?,?,?,?,?,RT
I,?,398,1240,28.5,30.8,243,?,?,?,?,?,RT
I,?,412,1160,27.8,33,255,?,?,?,?,?,RT
I,F,203,150,11.5,13.9,159,?,?,?,?,?,SS
I,F,201,130,11.7,14.4,156,?,?,?,?,?,SS
I,?,411,1240,26.8,32.7,276,?,?,?,?,?,RT
I,?,373,930,24.4,27.4,210,?,?,?,?,?,RT
I,M,178,90,10.9,12.1,145,?,?,?,?,?,SS
I,?,415,1240,25.6,31.2,231,?,?,?,?,?,RT
I,?,383,1030,25.2,29.8,216,?,?,?,?,?,RT
I,M,223,550,18.8,21.3,210,?,?,?,?,?,CH
I,?,390,1250,26.5,32,210,?,?,?,?,?,RT
I,?,390,999,25.3,29.8,220,?,?,?,?,?,RT
A,?,365,1120,26.5,30.8,260,?,?,?,?,?,RT
A,?,345,1000,26.4,30.1,200,?,?,?,?,?,RT
I,F,273,530,19.2,24.7,213,?,?,?,?,?,CH
I,?,400,1040,27.7,32.1,230,?,?,?,?,?,RT
I,?,380,1150,27.8,31.1,220,?,?,?,?,?,RT
I,?,330,1000,25.9,30.2,220,?,?,?,?,?,RT
I,?,410,1360,33.3,28.6,235,?,?,?,?,?,RT
I,?,313,930,25.7,28.9,215,?,?,?,?,?,RT
I,?,384,980,25.8,30.4,215,?,?,?,?,?,RT
I,?,409,1260,27.7,31.8,221,?,?,?,?,?,RT
I,?,390,900,27.5,28.6,225,?,?,?,?,?,RT
I,?,411,1300,25.9,31.9,238,?,?,?,?,?,RT
I,F,259,470,16.6,23.4,221,?,?,?,?,?,CH
A,?,380,1040,26.4,30.9,212,?,?,?,?,?,RT
I,?,370,950,27.3,30.5,215,?,?,?,?,?,RT
I,?,415,1320,29.4,33.9,235,?,?,?,?,?,RT
I,F,215,180,14.1,12.7,132,?,?,?,?,?,SS
I,?,410,1280,27.9,32.7,229,?,?,?,?,?,RT
I,?,412,1310,26.1,31.1,251,?,?,?,?,?,RT
A,?,384,910,26.4,28.4,215,?,?,?,?,?,RT
I,?,404,1220,28.6,30.4,225,?,?,?,?,?,RT
I,?,375,920,23.8,28.8,210,?,?,?,?,?,RT
I,?,410,1135,26.4,32.4,267,?,?,?,?,?,RT
I,?,384,940,26.2,29.8,220,?,?,?,?,?,RT
I,?,385,920,25,32.2,238,?,?,?,?,?,RT
I,?,398,1280,28,32.4,248,?,?,?,?,?,RT
A,?,?,480,17.7,32.1,198,?,?,?,?,?,CH
I,?,425,1220,27.3,33,241,?,?,?,?,?,RT
I,?,401,1000,26.7,28,212,?,?,?,?,?,RT
I,?,387,1120,26.8,50.2,221,?,?,?,?,?,RT
I,?,376,925,26,30.8,233,?,?,?,?,?,RT
A,M,171,90,9.9,11.9,138,?,?,?,?,?,SS
A,?,420,1280,27.5,31.8,230,?,?,?,?,?,RT
I,?,385,985,27.5,30.8,223,?,?,?,?,?,RT
I,?,405,1350,28.3,32.6,226,?,?,?,?,?,RT
I,?,350,730,24.6,25.7,208,?,?,?,?,?,RT
I,?,388,890,27.8,31.2,231,?,?,?,?,?,RT
I,?,398,1020,26.5,31.1,217,?,?,?,?,?,RT
A,?,410,1000,27.1,30.6,230,?,?,?,?,?,RT
I,F,202,150,11.7,14.1,153,?,?,?,?,?,SS
I,F,204,180,11.5,12.4,186,?,?,?,?,?,SS
A,?,382,1020,26.5,29.4,225,?,?,?,?,?,RT
I,?,111,1340,26.85,31.9,226,?,?,?,?,?,RT
I,?,396,1300,27.3,30.5,214,?,?,?,?,?,RT
I,?,363,1015,25.5,30.1,242,?,?,?,?,?,RT
I,?,360,900,30.5,28.8,220,?,?,?,?,?,RT
I,?,390,1000,26.1,29.6,250,?,?,?,?,?,RT
I,M,195,150,12.3,14.6,178,?,?,?,?,?,SS
A,?,390,1050,24.8,32.5,220,?,?,?,?,?,RT
I,?,380,950,24.9,29,240,?,?,?,?,?,RT
I,M,225,350,12.6,26,215,?,?,?,?,?,CH
A,M,247,375,16.9,18.2,160,?,?,?,?,?,CH
A,?,415,1175,28.3,33.2,230,?,?,?,?,?,RT
I,?,354,980,25.8,29.3,220,?,?,?,?,?,RT
A,?,417,1260,29,32.8,234,?,?,?,?,?,RT
I,?,379,1050,25.9,31.3,226,?,?,?,?,?,RT
A,?,412,1330,29.2,32.2,218,?,?,?,?,?,RT
A,?,377,980,28,29.1,209,?,?,?,?,?,RT
I,?,372,920,25.3,30,228,?,?,?,?,?,RT
I,?,420,1540,29.9,35.5,235,?,?,?,?,?,RT
I,?,368,1060,25.5,26.9,223,?,?,?,?,?,RT
I,?,406,1420,29.9,32,245,?,?,?,?,?,RT
I,M,225,400,15,20,202,?,?,?,?,?,CH
I,?,392,1142,27.2,33,235,244,89.3,0,1,0,RT
I,F,191,157,12,13.8,158,162,57,2,2,0,SS
I,M,161,98,10.3,11.7,133,137,48.4,1,2,0.25,SS
I,?,365,813,26.2,30.1,221,224,86.6,0,0,0,RT
I,M,156,94,9.9,11.4,125,129,48.6,1,2,0.25,SS
I,F,191,155,16.5,14.4,158,161,54.3,0,1,0,SS
I,F,198,181,12.5,14.1,159,164,56,2,2,0,SS
I,M,160,92,9.8,11,132,135,48.3,2,1,0,SS
I,M,164,98,10.1,11.4,136,138,50.5,2,1,0,SS
I,?,352,1024,26.6,30.3,216,225,90.2,0,0,0,RT
I,F,265,464,19.2,24.1,225,229,73.3,0,0,0,CH
I,M,163,100,10.4,11.2,137,139,44.5,1,1,0.25,SS
I,F,193,186,12.8,14,155,159,57.6,3,2,0.25,SS
I,F,190,164,11.9,14.5,155,160,57.5,2,1,0,SS
I,M,165,98,10.1,11.4,138,142,50.2,0,1,0,SS
I,M,162,?,?,?,130,?,?,2,1,0.25,SS
A,F,198,158,12.1,14.5,154,160,55,0,1,0,SS
I,?,370,1023,25.8,30.1,216,228,82.8,1,0,0.25,RT
I,?,230,340,16.5,30.5,200,225,85.5,0,0,0.25,RT
I,M,194,163,12.2,20,158,206,67.5,2,1,0,CH
I,F,157,92,9.8,14.7,132,160,55,1,1,0,SS
I,M,260,550,19.5,11.2,215,136,49.8,1,0,0,SS
A,F,377,1119,25.4,23.9,226,224,24.7,1,1,1,CH
I,?,364,917,26,29.6,216,225,85.1,0,0,0,RT
I,?,367,946,26.7,28.9,221,232,88.9,0,1,0,RT
I,?,233,337,15.7,31.9,196,225,87.4,0,0,0.5,RT
I,M,336,742,23.4,18.8,221,205,67.2,0,0,0,CH
I,F,259,439,18.8,15.2,218,171,57,0,0,0,SS
I,F,199,187,12.2,24.2,157,221,74.4,1,1,0.5,CH
I,F,165,92,9.7,14.6,135,162,56.5,2,1,0,SS
I,M,370,1094,27.3,11.5,221,139,47.7,1,0,0,SS
I,?,362,832,23.8,32.6,210,230,87.1,0,1,0,RT
A,?,368,1244,?,?,220,?,?,?,?,?,RT
I,?,368,1244,26.7,30.2,220,228,85.4,1,1,0,RT
I,?,367,974,25.2,29.6,221,240,85.2,0,0,0,RT
I,?,400,1289,28.6,32.1,242,261,86.9,0,0,0,RT
I,?,379,999,28.3,32,220,238,90.1,0,1,0,RT
I,?,360,994,26.5,30.4,210,232,84.8,0,1,0,RT
I,?,362,1004,27,31.4,221,240,86.8,0,1,0,RT
I,?,378,1097,28.9,33.4,236,244,91.3,0,1,0,RT
I,F,201,185,13.1,14.5,162,167,58.1,1,1,0,SS
I,M,193,181,12.8,11.5,150,152,52.4,0,0,0,SS
I,?,372,1092,27.2,31.8,235,239,85.2,0,1,0,RT
I,?,369,1049,30.1,32,231,240,84.9,0,0,0,RT
I,?,354,998,27.2,29.2,227,234,81.7,1,1,0,RT
I,?,367,1091,31.8,34.2,238,249,91.7,0,0,0,RT
I,?,349,987,29,31.1,225,237,89,0,0,0,RT
I,?,375,1151,34.1,33.7,249,250,94,1,1,0.25,RT
I,?,343,971,25.1,26.1,213,224,79.3,0,0,0,RT
I,?,360,1159,32.9,34,240,252,91.2,1,1,0,RT
I,?,395,1239,26.7,33.2,231,243,90.3,0,2,0,RT
I,?,400,1216,28.5,32.1,227,239,84.4,0,2,0,RT
A,F,170,177,12.3,14.4,155,165,54.6,3,2,0,SS
I,F,268,469,20,24.9,227,232,75.3,1,1,0,CH
I,?,369,1039,26.9,29.5,223,245,87.4,1,2,0,RT
I,?,365,1079,25.2,30,228,239,86.2,0,0,0,RT
A,?,375,1159,33.8,32.7,242,252,91,1,0,0,RT
I,M,230,162,12.3,13.8,149,153,52.5,0,0,0,SS
A,M,213,339,23.5,13.8,184,181,71.2,0,1,0,CH
A,?,382,1403,34.9,34.7,247,259,92.5,0,1,1,RT
I,M,168,175,12.9,14,158,167,55.9,2,2,0,SS
A,?,478,1473,39.2,44.7,267,272,?,2,2,0.5,RT
I,?,469,1001,29.9,43.2,257,269,?,1,0,0,RT
I,M,172,98,8.7,10.9,148,148,53.4,1,0,0,SS
I,?,373,914,25.9,30.4,221,251,93.7,1,1,0.5,RT
A,?,386,1059,25.5,30.5,214,227,92.5,?,1,0.5,RT
I,?,384,1147,29,35,229,236,91.9,?,?,?,RT
I,?,351,949,26.8,29.7,213,216,?,0,0,0,RT
I,M,168,102,9.6,11.9,138,136,50,2,1,0,SS
I,?,363,973,24.8,27.3,213,220,84.1,0,1,0.75,RT
I,F,199,196,12.4,15.2,158,163,56.5,2,2,?,SS
I,M,235,327,16.5,20.3,193,196,69.2,1,1,0,CH
A,?,374,1064,26,32.1,201,210,85.2,1,1,0.5,RT
I,?,369,749,24,26.8,216,224,60.1,0,0,0,RT
I,F,202,201,11.7,14.9,165,166,56.8,3,2,0,SS
I,F,202,180,12.4,14.1,160,164,55.3,2,2,0,SS
I,?,374,1213,24.9,28,244,218,87.9,1,2,0,RT
I,?,389,1200,28.2,30.8,230,240,81.7,2,1,0,RT
I,?,379,1040,25.3,29.4,227,234,80.8,1,0,0,RT
I,M,170,113,10.6,11.1,139,141,54,0,1,0,SS
I,?,373,919,24.2,28.5,233,?,?,?,?,?,RT
I,?,403,1487,26,32.5,240,?,?,?,?,?,RT
I,?,400,1254,25.2,30,237,?,?,?,?,?,RT
A,F,205,156,10.8,14.1,144,?,?,?,?,?,SS
I,?,405,1189,27.7,31.3,210,?,?,?,?,?,RT
I,?,382,979,24.8,27.9,225,?,?,?,?,?,RT
A,M,165,96,10.7,11.4,125,?,?,?,?,?,SS
I,?,407,1339,27.3,33.4,246,?,?,?,?,?,RT
I,?,403,1199,28.8,31,225,?,?,?,?,?,RT
I,?,406,1344,27.9,33.1,230,?,?,?,?,?,RT
I,?,381,969,26.1,31.1,220,?,?,?,?,?,RT
I,?,395,1039,26,29.7,230,?,?,?,?,?,RT
I,?,410,1054,28.5,31.5,233,?,?,?,?,?,RT
A,F,243,334,17.5,19.2,196,?,?,?,?,?,CH
I,M,170,101,9.8,11,135,?,?,?,?,?,SS
A,F,210,181,12.2,15,170,?,?,?,?,?,SS
A,?,425,1449,30.3,33,232,?,?,?,?,?,RT
I,?,402,985,26.6,29.8,234,?,?,?,?,?,RT
A,?,480,1598,34.2,35.4,239,?,?,?,?,?,RT
I,?,412,992,30.1,31.5,230,?,?,?,?,?,RT
I,F,260,569,19.1,24,227,?,?,?,?,?,CH
A,?,381,1354,28.2,32,213,?,?,?,?,?,RT
A,?,392,969,25.9,29,207,?,?,?,?,?,RT
I,?,382,1080,25.3,31,214,?,?,?,?,?,RT
A,F,196,185,12.5,14,146,?,?,?,?,?,SS
A,?,391,1097,27.9,32.8,217,?,?,?,?,?,RT
A,?,397,1439,28.8,31.4,216,?,?,?,?,?,RT
I,?,361,?,24.4,27.9,214,?,?,?,?,?,RT
I,?,376,1019,25.8,29.5,216,?,?,?,?,?,RT
A,?,410,1239,29.5,31.8,222,?,?,?,?,?,RT
I,?,381,1399,27.6,31.3,288,?,?,?,?,?,RT
I,?,396,1169,27.5,25.2,238,?,?,?,?,?,RT
I,?,383,1164,27,29.9,199,?,?,?,?,?,RT
I,F,203,176,11.5,14.7,161,?,?,?,?,?,SS
I,?,271,?,27.4,33,235,236,?,?,2,0,RT
I,F,255,429,19,22.9,208,216,?,?,?,?,CH
I,F,196,160,12.3,14.7,137,136,?,?,4,1,SS
I,M,168,105,10.2,11,143,139,?,?,2,0,SS
I,?,392,890,24.1,29.2,219,200,?,?,0,1,RT
I,M,163,100,9.7,11.6,128,115,?,?,2,1,SS
I,F,205,?,13.7,15,161,164,?,?,?,?,SS
I,?,395,1215,28.3,33,236,240,?,?,2,1,RT
I,M,163,100,9.9,11.3,131,137,?,?,3,3,SS
I,?,370,1030,27.6,31.4,225,227,?,?,2,0,RT
A,M,225,340,15.7,19.4,190,198,?,?,2,1,CH
I,F,197,165,11.9,9.6,150,152,?,?,1,0,SS
I,?,376,985,26.4,30.3,223,219,?,?,1,0,RT
I,?,372,975,26.5,31.6,225,220,?,?,1,0.5,RT
I,?,391,1165,28.2,32.4,241,241,?,?,1,1,RT
I,?,165,95,9.7,11.2,136,138,?,?,1,1,SS
I,?,364,1044,23.5,29,210,222,?,?,1,1,RT
